id	source	pmid	pmcid	doi	title	authorString	journalTitle	issue	journalVolume	pubYear	journalIssn	pubType	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	hasTMAccessionNumbers	firstIndexDate	firstPublicationDate	pageInfo
33003799	MED	33003799	NA	10.1063/5.0012218	Time synchronization and data transfer method for towed electromagnetic receiver.	Qiu Y, Yang Q, Deng M, Chen K.	Rev Sci Instrum	9	91	2020	0034-6748; 1089-7623; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-10-15	2020-09-01	094501
33051682	MED	33051682	PMC7665560	10.1093/jamia/ocaa182	Corrigendum to: Rapid Deployment of Inpatient Telemedicine In Response to COVID-19 Across Three Health Systems.	Vilendrer S, Patel B, Chadwick W, Hwa M, Asch S, Pageler N, Ramdeo R, Saliba-Gustafsson EA, Strong P, Sharp C.	J Am Med Inform Assoc	11	27	2020	1067-5027; 1527-974x; 	published erratum; correction; journal article	Y	Y	N	Y	N	N	0	N	N	N	N	N	2020-10-16	2020-11-01	1830
33102746	MED	33102746	PMC7578317	10.1002/jgh3.12412	Clinical adoption of robotics in endoscopy: Challenges and solutions.	Kaan HL, Ho KY.	JGH Open	5	4	2020	2397-9070	review-article; review; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-10-26	2020-09-09	790-794
32536041	MED	32536041	PMC7294598	10.1117/1.jbo.25.6.066502	Ultra-low timing jitter, Ti:Al2O3 synchronization for stimulated Raman scattering and pump-probe microscopy.	Sherlock B, Saint-Jalm S, Malcolm GPA, Maker GT, Moger J.	J Biomed Opt	6	25	2020	1083-3668; 1560-2281; 	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-06-15	2020-06-01	1-7
32906862	MED	32906862	NA	10.1364/oe.403076	Exploring new chaotic synchronization properties in the master-slave configuration based on three laterally coupled semiconductor lasers with self-feedback.	Zhong D, Yang H, Xi J, Zeng N, Xu Z.	Opt Express	18	28	2020	1094-4087	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-09-10	2020-08-01	25778-25794
32854264	MED	32854264	PMC7569875	10.3390/mi11090805	A Remote-Controlled Robotic System with Safety Protection Strategy Based on Force-Sensing and Bending Feedback for Transcatheter Arterial Chemoembolization.	Zhou J, Mei Z, Miao J, Mao J, Wang L, Wu D, Sun D, Zhao Y.	Micromachines (Basel)	9	11	2020	2072-666x	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-08-29	2020-08-25	NA
32532148	MED	32532148	PMC7308852	10.3390/s20113317	Connectivity on Underwater MI-Assisted Acoustic Cooperative MIMO Networks.	Ren Q, Sun Y, Huo Y, Zhang L, Li S.	Sensors (Basel)	11	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-06-13	2020-06-10	NA
32953386	MED	32953386	PMC7493068	10.1186/s40537-020-00357-y	DHPV: a distributed algorithm for large-scale graph partitioning.	Adoni WYH, Nahhal T, Krichen M, El Byed A, Assayad I.	J Big Data	1	7	2020	2196-1115	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-09-23	2020-09-16	76
32479405	MED	32479405	NA	10.1109/tnnls.2020.2996224	Master-Slave Synchronization of Delayed Neural Networks With Time-Varying Control.	Jia Q, Mwanandiye ES, Tang WKS.	IEEE Trans Neural Netw Learn Syst	NA	PP	2020	2162-237x; 2162-2388; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-06-02	2020-06-01	NA
32742700	MED	32742700	PMC7353982	10.1098/rsos.200599	Emergence of cascading dynamics in interacting tipping elements of ecology and climate.	Klose AK, Karle V, Winkelmann R, Donges JF.	R Soc Open Sci	6	7	2020	2054-5703	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-08-09	2020-06-24	200599
PMC7343412	PMC	NA	PMC7343412	NA	Equally Distributed Bus-Communication Access Rights for Inter MCU Communication Using Multimaster SPI	Brinkmann A, Karl W, Lankes S, Tomforde S, Pionteck T, Trinitis C, Dentgen M, Renner S, Mottok J.	Architecture of Computing Systems – ARCS 202033rd International Conference, Aachen, Germany, May 25–28, 2020, Proceedings	NA	12155	2020	NA	chapter-article	Y	Y	Y	Y	N	N	0	N	Y	N	N	N	2020-07-15	2020-06-12	200-212
33259314	MED	33259314	NA	10.1109/tcyb.2020.3032994	Composite Adaptive Guaranteed Performances Synchronization Control for Bilateral Teleoperation System With Asymmetrical Time-Varying Delays.	Yang Y, Hua C, Li J.	IEEE Trans Cybern	NA	PP	2020	2168-2267; 2168-2275; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-12-03	2020-12-01	NA
32580271	MED	32580271	PMC7349585	10.3390/s20123520	Image-Processing-Based Low-Cost Fault Detection Solution for End-of-Line ECUs in Automotive Manufacturing.	Korodi A, Anitei D, Boitor A, Silea I.	Sensors (Basel)	12	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	N	N	2020-06-25	2020-06-22	NA
32794950	MED	32794950	NA	10.1103/physreve.102.012211	Lyapunov approach to synchronization of chaotic systems with vanishing nonlinear perturbations: From static to dynamic couplings.	Arena P, Buscarino A, Fortuna L, Patanè L.	Phys Rev E	1-1	102	2020	2470-0045; 2470-0053; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-08-15	2020-07-01	012211
32549503	MED	32549503	NA	10.1364/oe.384706	Integrated dual optical frequency comb source.	Alexander JK, Caro L, Dernaika M, Duggan SP, Yang H, Chandran S, Martin EP, Ruth AA, Anandarajah PM, Peters FH.	Opt Express	11	28	2020	1094-4087	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-06-18	2020-05-01	16900-16906
33120866	MED	33120866	PMC7663308	10.3390/s20216089	Design of a Multipurpose Photonic Chip Architecture for THz Dual-Comb Spectrometers.	Betancur-Pérez A, Martín-Mateos P, Dios C, Acedo P.	Sensors (Basel)	21	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-10-30	2020-10-27	NA
32836687	MED	32836687	PMC7415130	10.1007/s10624-020-09603-4	From sharecropping to equal shares: transforming the sharing economy in northeastern Brazil.	DeVore J.	Dialect Anthropol	NA	NA	2020	0304-4092	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	N	2020-08-26	2020-08-09	1-23
32933087	MED	32933087	PMC7570854	10.3390/s20185195	The Impact of Rate Adaptation Algorithms on Wi-Fi-Based Factory Automation Systems.	Fedullo T, Tramarin F, Vitturi S.	Sensors (Basel)	18	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-09-23	2020-09-11	NA
33055041	MED	33055041	NA	10.1109/tnnls.2020.3027862	A New Looped Functional to Synchronize Neural Networks With Sampled-Data Control.	Zeng HB, Zhai ZL, Yan H, Wang W.	IEEE Trans Neural Netw Learn Syst	NA	PP	2020	2162-237x; 2162-2388; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-10-16	2020-10-15	NA
31956954	MED	31956954	PMC7036076	10.1007/s11548-019-02112-y	Hamlyn CRM: a compact master manipulator for surgical robot remote control.	Zhang D, Liu J, Zhang L, Yang GZ.	Int J Comput Assist Radiol Surg	3	15	2020	1861-6410; 1861-6429; 	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-01-21	2020-01-19	503-514
32077011	MED	32077011	NA	10.1007/s11517-020-02143-7	A novel noncontact detection method of surgeon's operation for a master-slave endovascular surgery robot.	Zhao Y, Xing H, Guo S, Wang Y, Cui J, Ma Y, Liu Y, Liu X, Feng J, Li Y.	Med Biol Eng Comput	4	58	2020	0140-0118; 1741-0444; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-02-21	2020-02-19	871-885
32824494	MED	32824494	PMC7472237	10.3390/s20164623	Experimental Evaluation of 6BLEMesh: IPv6-Based BLE Mesh Networks.	Darroudi SM, Gomez C.	Sensors (Basel)	16	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	Y	2020-08-22	2020-08-17	NA
32403504	MED	32403504	NA	10.1364/oe.391854	Linewidth characteristics of period-one dynamics induced by optically injected semiconductor lasers.	AlMulla M, Liu JM.	Opt Express	10	28	2020	1094-4087	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-05-15	2020-05-01	14677-14693
32874624	MED	32874624	PMC7428256	10.1098/rsos.200227	The influence law of eccentric load on the performance of yielding bolt.	Tai Y, Xia H, Huang S, Meng J, Li W.	R Soc Open Sci	7	7	2020	2054-5703	research-article; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	Y	Y	2020-09-03	2020-07-01	200227
31830365	MED	31830365	PMC7154756	10.1002/rcs.2065	Manipulation of a master manipulator with a combined-grip-handle of pinch and power grips.	Jeong S, Tadano K.	Int J Med Robot	2	16	2020	1478-5951; 1478-596x; 	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	Y	N	2019-12-13	2020-01-10	e2065
33102744	MED	33102744	PMC7578321	10.1002/jgh3.12413	Robotic endoscopy in gastroenterology: Has it come of age?	Ho SH, Chiu PW.	JGH Open	5	4	2020	2397-9070	editorial	Y	Y	N	Y	N	N	0	N	N	N	N	N	2020-10-26	2020-10-21	782-783
32493577	MED	32493577	NA	10.1016/j.isatra.2020.05.044	Exponential stability of bilateral sampled-data teleoperation systems using multirate approach.	Ghavifekr AA, Ghiasi AR, Badamchizadeh MA, Hashemzadeh F.	ISA Trans	NA	105	2020	0019-0578; 1879-2022; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-06-05	2020-05-29	190-197
33085581	MED	33085581	NA	10.1177/1553350620967852	Periodic Kinesthetic Guidance Cannot Expedite Learning Surgical Skills.	Lu F, Wang B, Sanchez P, Kathrada AI, Tavakoli M, Zheng B.	Surg Innov	NA	NA	2020	1553-3506; 1553-3514; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-10-22	2020-10-21	1553350620967852
31710158	MED	31710158	PMC7154778	10.1002/rcs.2051	Pneumatically driven surgical forceps displaying a magnified grasping torque.	Iwai T, Kanno T, Miyazaki T, Haraguchi D, Kawashima K.	Int J Med Robot	2	16	2020	1478-5951; 1478-596x; 	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	N	N	2019-11-12	2020-01-05	e2051
32012028	MED	32012028	NA	10.1109/toh.2020.2971485	Haptic-Guided Teleoperation of a 7-DoF Collaborative Robot Arm With an Identical Twin Master.	Singh J, Srinivasan AR, Neumann G, Kucukyilmaz A.	IEEE Trans Haptics	1	13	2020	1939-1412; 2329-4051; 	research support, non-u.s. gov't; journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-02-07	2020-01-01	246-252
31913577	MED	31913577	PMC7154714	10.1002/rcs.2062	Three-dimensional posture estimation of robot forceps using endoscope with convolutional neural network.	Mikada T, Kanno T, Kawase T, Miyazaki T, Kawashima K.	Int J Med Robot	2	16	2020	1478-5951; 1478-596x; 	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	N	N	2020-01-17	2020-01-08	e2062
32774445	MED	32774445	PMC7296470	10.1155/2020/9812019	A Parallel Algorithm Framework for Feature Extraction of EEG Signals on MPI.	Xiong Q, Zhang X, Wang WF, Gu Y.	Comput Math Methods Med	NA	2020	2020	1748-670x; 1748-6718; 	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-08-12	2020-05-27	9812019
32155932	MED	32155932	PMC7085691	10.3390/s20051463	The Synchronization Transceiver Design and Experimental Verification for the LuTan-1 SAR Satellite.	Jiao Y, Liang D, Liu K, Chen Y, Wang H, Wang AR.	Sensors (Basel)	5	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-03-12	2020-03-06	NA
32872847	MED	32872847	NA	10.1063/5.0018383	Stability analysis of a double similarity transformed coupled cluster theory.	Agarawal V, Chakraborty A, Maitra R.	J Chem Phys	8	153	2020	0021-9606; 1089-7690; 	journal article	N	N	N	N	N	N	0	N	N	N	Y	N	2020-09-03	2020-08-01	084113
32879334	MED	32879334	PMC7468264	10.1038/s41598-020-71258-6	Hyperspectral terahertz imaging with electro-optic dual combs and a FET-based detector.	Martín-Mateos P, Čibiraitė-Lukenskienė D, Barreiro R, de Dios C, Lisauskas A, Krozer V, Acedo P.	Sci Rep	1	10	2020	2045-2322	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-09-04	2020-09-02	14429
32695853	MED	32695853	PMC7364114	10.1016/j.dib.2020.105981	Load cell torques and force data collection during tele-operated robotic gas tungsten arc welding in presence of collisions.	Tannous M, Bologna F, Stefanini C.	Data Brief	NA	31	2020	2352-3409	data-paper; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	Y	Y	2020-07-23	2020-07-03	105981
31605352	MED	31605352	PMC6949326	10.1007/s11548-019-02074-1	A microsurgical robot research platform for robot-assisted microsurgery research and training.	Zhang D, Chen J, Li W, Bautista Salinas D, Yang GZ.	Int J Comput Assist Radiol Surg	1	15	2020	1861-6410; 1861-6429; 	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2019-10-12	2019-10-11	15-25
31590421	MED	31590421	PMC6806067	10.3390/s19194319	Experimental Research on Data Synchronous Acquisition Method of Subsidence Monitoring in Submarine Gas Hydrate Mining Area.	Chen J, Cao C, Ge Y, Zhu H, Xu C, Sheng Y, Tian L, Zhang H.	Sensors (Basel)	19	19	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2019-10-08	2019-10-06	NA
32902485	MED	32902485	NA	10.1364/ao.398580	Time-delay signature suppression of polarization-resolved wideband chaos in VCSELs with dual-path chaotic optical injections.	Chen J, Li C, Mu X, Li L, Duan Y.	Appl Opt	24	59	2020	1559-128x; 1539-4522; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-09-10	2020-08-01	7217-7224
33167438	MED	33167438	PMC7663987	10.3390/s20216303	Dual-Frequency Doppler LiDAR Based on External Optical Feedback Effect in a Laser.	Chen Z, Yu Y, Ruan Y, Nie B, Xi J, Guo Q, Tong J.	Sensors (Basel)	21	20	2020	1424-8220	letter	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-11-11	2020-11-05	NA
32403696	MED	32403696	NA	10.1364/oe.389297	40 GHz continuous, precise, and low power-loss laser frequency sweep using an electro-optic modulator.	Okubo S, Kuramoto N, Inaba H.	Opt Express	8	28	2020	1094-4087	journal article	N	N	N	N	N	N	0	N	N	N	Y	N	2020-05-15	2020-04-01	11956-11964
31924777	MED	31924777	PMC6954261	10.1038/s41467-019-14010-7	Phase-coherent lightwave communications with frequency combs.	Lundberg L, Mazur M, Mirani A, Foo B, Schröder J, Torres-Company V, Karlsson M, Andrekson PA.	Nat Commun	1	11	2020	2041-1723	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-01-17	2020-01-10	201
31526098	MED	31526098	PMC6791023	10.1177/0954411919876466	Mechanical Follow-the-Leader motion of a hyper-redundant surgical instrument: Proof-of-concept prototype and first tests.	Henselmans PW, Smit G, Breedveld P.	Proc Inst Mech Eng H	11	233	2019	0954-4119; 2041-3033; 	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2019-09-19	2019-09-16	1141-1150
31698153	MED	31698153	NA	10.1016/j.saa.2019.117653	Principal component analysis or kernel principal component analysis based joint spectral subspace method for calibration transfer.	Shan P, Zhao Y, Wang Q, Ying Y, Peng S.	Spectrochim Acta A Mol Biomol Spectrosc	NA	227	2020	1386-1425; 1873-3557; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2019-11-08	2019-10-18	117653
32838738	MED	32838738	PMC7446188	10.1186/s12859-020-03562-x	HPC-REDItools: a novel HPC-aware tool for improved large scale RNA-editing analysis.	Flati T, Gioiosa S, Spallanzani N, Tagliaferri I, Diroma MA, Pesole G, Chillemi G, Picardi E, Castrignanò T.	BMC Bioinformatics	suppl 10	21	2020	1471-2105	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	Y	2020-08-26	2020-08-21	353
32948594	MED	32948594	PMC7500935	10.1126/sciadv.abc6414	Reprogrammable shape morphing of magnetic soft machines.	Alapan Y, Karacakol AC, Guzelhan SN, Isik I, Sitti M.	Sci Adv	38	6	2020	2375-2548	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-09-23	2020-09-18	NA
32763813	MED	32763813	NA	10.1016/j.advms.2020.07.001	Circadian disruption, melatonin rhythm perturbations and their contributions to chaotic physiology.	Reiter RJ, Rosales-Corral S, Sharma R.	Adv Med Sci	2	65	2020	1896-1126; 1898-4002; 	review; journal article	N	N	N	N	N	N	0	N	Y	N	Y	N	2020-08-10	2020-08-04	394-402
32244849	MED	32244849	PMC7143166	10.3390/ma13061380	A Novel Hydraulic Actuation System Utilizing Magnetorheological Fluids for Single-Port Laparoscopic Surgery Applications.	El Wahed AK.	Materials (Basel)	6	13	2020	1996-1944	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-04-05	2020-03-20	NA
31569636	MED	31569636	PMC6806326	10.3390/s19194191	Cryptographic Considerations for Automation and SCADA Systems Using Trusted Platform Modules.	Tidrea A, Korodi A, Silea I.	Sensors (Basel)	19	19	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2019-10-05	2019-09-27	NA
32967322	MED	32967322	PMC7570649	10.3390/s20185417	ISA 100.11a Networked Control System Based on Link Stability.	Florencio H, Dória Neto A, Martins D.	Sensors (Basel)	18	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-09-24	2020-09-21	NA
31781197	MED	31781197	PMC6875422	10.1155/2019/6909547	Development of a Novel Gastrointestinal Endoscopic Robot Enabling Complete Remote Control of All Operations: Endoscopic Therapeutic Robot System (ETRS).	Kume K, Sakai N, Ueda T.	Gastroenterol Res Pract	NA	2019	2019	1687-6121; 1687-630x; 	research-article; journal article	Y	Y	N	Y	N	Y	1	Y	Y	N	Y	N	2019-11-30	2019-11-04	6909547
33015423	MED	33015423	PMC7518965	10.1016/j.ohx.2020.e00145	ATMO-vent: An adapted breathing atmosphere for COVID-19 patients.	Mathanlal T, Israel Nazarious M, Mantas-Nakhai R, Zorzano MP, Martin-Torres J.	HardwareX	NA	8	2020	2468-0672	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	N	2020-10-16	2020-09-26	e00145
31752341	MED	31752341	PMC6891686	10.3390/s19225041	Crowdsourced Security Reconstitution for Wireless Sensor Networks: Secrecy Amplification.	Ostadal R, Matyas V, Svenda P, Nemec L.	Sensors (Basel)	22	19	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	N	N	2019-11-22	2019-11-19	NA
32630381	MED	32630381	PMC7349184	10.3390/s20123590	Bluetooth Low Energy Mesh Networks: Survey of Communication and Security Protocols.	Ghori MR, Wan TC, Sodhy GC.	Sensors (Basel)	12	20	2020	1424-8220	review-article; review; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-07-08	2020-06-25	NA
32155156	MED	32155156	PMC7064206	10.1371/journal.pone.0228844	TrustBlock: An adaptive trust evaluation of SDN network nodes based on double-layer blockchain.	Zhao B, Liu Y, Li X, Li J, Zou J.	PLoS One	3	15	2020	1932-6203	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	Y	N	2020-03-12	2020-03-10	e0228844
31623218	MED	31623218	PMC6832464	10.3390/s19204488	System of Sensors and Actuators for the Production of Water Used in the Manufacture of Medicines.	da Silva FRM, Fonsêca DAM, da Silva WLA, Villarreal ERL, Echaiz Espinoza GA, Salazar AO.	Sensors (Basel)	20	19	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2019-10-22	2019-10-16	NA
31634849	MED	31634849	NA	10.1109/tnnls.2019.2943548	Secure Communication Based on Quantized Synchronization of Chaotic Neural Networks Under an Event-Triggered Strategy.	He W, Luo T, Tang Y, Du W, Tian YC, Qian F.	IEEE Trans Neural Netw Learn Syst	9	31	2020	2162-237x; 2162-2388; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2019-10-22	2019-10-17	3334-3345
33066387	MED	33066387	PMC7602214	10.3390/s20205803	An Unbalanced QPSK-Based Integrated Communication-Ranging System for Distributed Spacecraft Networking.	Zhao N, Chang Q, Wang H, Zhang Z.	Sensors (Basel)	20	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-10-18	2020-10-14	NA
32493578	MED	32493578	NA	10.1016/j.isatra.2020.05.039	Adaptive terminal sliding mode control scheme for synchronization of fractional-order uncertain chaotic systems.	Modiri A, Mobayen S.	ISA Trans	NA	105	2020	0019-0578; 1879-2022; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-06-05	2020-05-27	33-50
32517133	MED	32517133	PMC7313693	10.3390/s20113223	Multipath Map Method for TDOA Based Indoor Reverse Positioning System with Improved Chan-Taylor Algorithm.	Hua C, Zhao K, Dong D, Zheng Z, Yu C, Zhang Y, Zhao T.	Sensors (Basel)	11	20	2020	1424-8220	letter	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-06-10	2020-06-05	NA
31510519	MED	31510519	NA	10.1364/oe.27.022226	Master-slave carrier recovery for M-QAM multicore fiber transmission.	Lundberg L, Puttnam BJ, Luís RS, Rademacher G, Karlsson M, Andrekson PA, Awaji Y, Wada N.	Opt Express	16	27	2019	1094-4087	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2019-09-12	2019-08-01	22226-22236
32903302	MED	32903302	PMC7422514	10.1186/s42490-019-0012-1	Robots in laparoscopic surgery: current and future status.	Kawashima K, Kanno T, Tadano K.	BMC Biomed Eng	NA	1	2019	2524-4426	review-article; review; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-09-10	2019-05-29	12
32837593	MED	32837593	PMC7239608	10.1007/s12652-020-02119-3	Integrating machine learning and open data into social Chatbot for filtering information rumor.	Hsu IC, Chang CC.	J Ambient Intell Humaniz Comput	NA	NA	2020	1868-5137; 1868-5145; 	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-08-26	2020-05-20	1-15
31661936	MED	31661936	PMC6864435	10.3390/s19214689	ScanSAR Interferometry of the Gaofen-3 Satellite with Unsynchronized Repeat-Pass Images.	Sun Z, Yu A, Dong Z, Luo H.	Sensors (Basel)	21	19	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	N	N	2019-10-30	2019-10-28	NA
31670681	MED	31670681	NA	10.1109/toh.2019.2949819	Experimental Assessment of Absolute Stability in Bilateral Teleoperation.	Mokogwu CN, Razi K, Hashtrudi-Zaad K.	IEEE Trans Haptics	2	13	2020	1939-1412; 2329-4051; 	research support, non-u.s. gov't; journal article	N	N	N	N	N	N	0	N	N	N	N	N	2019-11-01	2019-10-28	380-392
31601876	MED	31601876	PMC6787056	10.1038/s41598-019-51025-y	All-optical majority gate based on an injection-locked laser.	von Lerber T, Lassas M, Lyubopytov VS, Ylinen L, Chipouline A, Hofmann K, Küppers F.	Sci Rep	1	9	2019	2045-2322	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2019-10-12	2019-10-10	14576
